epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,no_improve_count
1,1.064347722437172,64.19443748433976,0.950607628024097,67.62114537444934,0.001,245.8847222328186,1,0
2,0.6675552922333431,77.1986970684039,1.1429688794628639,57.48898678414097,0.001,245.8018503189087,0,1
3,0.5539742771529578,81.28288649461288,0.8243606695125807,69.38325991189427,0.001,245.90920495986938,1,0
4,0.48906530801648335,83.46279128038086,0.6713924660031491,79.51541850220265,0.001,245.85468769073486,1,0
5,0.44609453274295074,85.19168128288649,0.5842163381597544,81.71806167400881,0.001,245.86167860031128,1,0
6,0.4156186027997002,85.86820345778,0.5747287788055017,79.95594713656388,0.001,245.74616813659668,0,1
7,0.3742323787521223,86.94562766224004,0.44879560876588465,86.12334801762114,0.001,245.81139874458313,1,0
8,0.3664920183686916,87.24630418441494,0.4424884538884205,85.24229074889868,0.001,245.6770784854889,0,1
9,0.3489785589160133,87.99799548985217,0.7532047267658595,73.89867841409692,0.001,245.70907425880432,0,2
10,0.3232515626639479,89.0754196943122,0.4965584099555331,84.03083700440529,0.001,245.73547530174255,0,3
11,0.3342768049753868,88.02305186670007,0.589858089118277,79.73568281938326,0.001,245.70768690109253,0,4
12,0.28907192986252256,90.10273114507642,0.46241098097505023,84.36123348017621,0.001,245.78425478935242,0,5
13,0.2903495347610365,90.00250563768479,0.4757664566326246,83.81057268722466,0.001,245.73992466926575,0,6
