epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,no_improve_count
1,1.0921003683949735,63.843648208469055,1.0740635284768327,59.36123348017621,0.001,288.8772864341736,1,0
2,0.6570312580319163,77.4743172137309,0.7885615035957176,72.79735682819383,0.001,245.8686180114746,1,0
3,0.5749162125635254,80.45602605863192,0.7677514815645596,73.01762114537445,0.001,246.00306606292725,1,0
4,0.4979410313389051,83.01177649711852,0.797064061206868,72.68722466960352,0.001,245.82592177391052,0,1
5,0.47568958740848494,83.8887496867953,0.6702151019536451,77.5330396475771,0.001,245.92104053497314,1,0
6,0.4460492217504898,84.8659483838637,0.48197197937098896,82.59911894273128,0.001,245.91691136360168,1,0
7,0.40364655484175865,86.11876722625908,0.4431245815222221,86.23348017621146,0.001,245.96783757209778,1,0
8,0.38795567336192377,86.67000751691306,0.4953835122451383,82.59911894273128,0.001,245.80949759483337,0,1
9,0.35639475546991933,87.62214983713355,0.7530527265849093,74.55947136563877,0.001,245.8110101222992,0,2
10,0.34300004624985897,88.3988975194187,0.4276842080089489,86.45374449339207,0.001,245.9562861919403,1,0
11,0.35622842203283395,87.34652969180657,0.8515144262938773,73.45814977973568,0.001,245.80779194831848,0,1
12,0.33677469558717016,88.04810824354799,0.4815149623818597,83.03964757709251,0.001,245.75717639923096,0,2
13,0.3306797824238094,89.02530694061639,0.5061568055252672,82.70925110132158,0.001,245.7634081840515,0,3
14,0.30718486792489835,89.57654723127035,0.45915754185374086,84.69162995594714,0.001,245.84827661514282,0,4
15,0.31343467980511236,89.7018291155099,0.4917718115291406,83.48017621145374,0.001,245.8473801612854,0,5
16,0.3021567490757393,89.82711099974944,0.5187261380944483,81.6079295154185,0.001,245.8091139793396,0,6
