epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,1.070420127693378,63.192182410423456,0.9228125246085784,67.0704845814978,265.48437094688416,0.001
2,0.6711946338437548,77.04835880731646,1.0878264476024107,67.84140969162996,265.60550236701965,0.001
3,0.5429151151389952,80.98220997243799,0.6739750887853984,77.6431718061674,264.1726632118225,0.001
4,0.47695696919193187,83.53796041092458,0.6910502419597777,77.31277533039648,263.65227007865906,0.001
5,0.4419722589326962,84.61538461538461,0.6778343120335483,76.54185022026432,266.09315371513367,0.001
6,0.44280011257830193,84.69055374592834,0.4779499561776149,83.81057268722466,266.4645719528198,0.001
7,0.3963840664314226,86.01854171886745,0.6087322993950697,81.6079295154185,263.85055136680603,0.001
8,0.3790707809304988,86.89551490854423,0.43083238870824486,85.35242290748899,263.76979804039,0.001
9,0.3646023374800394,88.07316462039589,0.4337661072677453,86.01321585903084,266.1426134109497,0.001
10,0.3628001121747646,88.02305186670007,0.6907242000890723,77.86343612334802,266.598641872406,0.001
11,0.3605945473683863,87.27136056126284,0.6723103002370192,77.5330396475771,264.3207492828369,0.001
12,0.3312080032961078,88.3988975194187,0.6382190599578068,78.74449339207048,263.7849473953247,0.001
13,0.33547385158290305,88.59934853420195,0.4568961069709929,84.36123348017621,266.0628614425659,0.001
14,0.29712141497306616,89.52643447757454,0.48566588406586436,81.93832599118943,265.9612238407135,0.001
15,0.3137289151545606,89.62665998496617,0.6084225455438513,82.48898678414096,264.13107347488403,0.001
16,0.2928108727236016,89.72688549235781,0.4744785620711974,85.68281938325991,263.49182868003845,0.001
17,0.30558023265178147,89.42620897018291,0.4753236514946963,84.03083700440529,266.005188703537,0.001
18,0.2783035790373645,90.25306940616387,0.4601581798054048,85.90308370044053,265.8044898509979,0.001
19,0.2790168020486891,90.57880230518667,0.47374963222096145,84.2511013215859,263.52007389068604,0.001
20,0.2744440886478351,90.30318215985969,0.4792760622724562,85.79295154185021,263.7490961551666,0.0005
21,0.23356632855833995,92.2575795539965,0.36220471537979687,87.88546255506608,266.157998085022,0.0005
22,0.21386597008521144,92.53319969932348,0.3264621371805405,89.42731277533039,266.01606464385986,0.0005
23,0.19817557945881115,93.2347782510649,0.3337471140835779,89.64757709251101,264.2763237953186,0.0005
24,0.1861940876967445,93.9113004259584,0.37831273796406084,88.54625550660793,263.3657076358795,0.0005
25,0.18759152554563638,93.25983462791281,0.32589620890071214,89.42731277533039,265.698757648468,0.0005
