epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,1.0320485750406017,64.87095965923328,1.0262649927107774,62.00440528634361,265.90505266189575,0.001
2,0.6570305235850067,77.52442996742671,1.3183597194990924,59.36123348017621,266.3265337944031,0.001
3,0.5399965297396218,81.65873214733149,0.6217361481835664,78.52422907488987,264.3123412132263,0.001
4,0.4702782353656509,83.76346780255575,0.9063293489459328,69.49339207048457,264.21241450309753,0.001
5,0.4277162495277126,85.14156852919068,0.6220823552639999,79.0748898678414,265.92494320869446,0.001
6,0.4365236273059209,84.43998997744926,0.6295492954978859,79.73568281938326,266.5246822834015,0.001
7,0.4056517073039392,85.99348534201954,0.4919884607261498,82.59911894273128,263.8419678211212,0.001
8,0.3478737351657513,87.32147331495865,0.4212746324124315,86.67400881057269,263.8409721851349,0.001
9,0.36614946520319563,87.67226259082936,0.42137476769050314,87.77533039647577,266.0094952583313,0.001
10,0.35110836914982957,88.27361563517915,0.5773209649495091,80.72687224669603,266.38478231430054,0.001
11,0.32817192299866016,88.3988975194187,0.5395042432168506,81.16740088105728,264.3106458187103,0.001
12,0.31769894361794665,88.95013781007266,0.6562449658363401,77.86343612334802,264.0980980396271,0.001
13,0.3072611347561461,89.02530694061639,0.4766207594047034,85.46255506607929,266.17363691329956,0.001
14,0.2655067045537489,91.02981708844901,0.50959243820693,83.59030837004406,266.5234739780426,0.001
15,0.28316570814317166,90.47857679779504,0.4219297317024895,87.66519823788546,264.09589529037476,0.001
16,0.2739392005539992,90.12778752192433,0.45664149050145425,84.91189427312776,263.88151574134827,0.001
17,0.272647398892455,90.55374592833876,0.4965875553467725,83.92070484581498,265.94560718536377,0.001
18,0.23365578054635036,92.00701578551741,0.46877069293730583,85.02202643171806,266.0372848510742,0.001
19,0.2543362722872374,91.07992984214482,0.3734454014851396,86.01321585903084,264.0154232978821,0.001
20,0.26270502693325737,90.82936607366575,0.45574421931205866,86.01321585903084,263.80052614212036,0.0005
21,0.20867709064096832,92.95915810573791,0.30275061654361857,90.63876651982379,266.22331976890564,0.0005
22,0.18585005423473672,93.78601854171887,0.34008786131500673,90.19823788546256,266.0264778137207,0.0005
23,0.18052669454938156,93.5855675269356,0.3187488950624865,91.07929515418502,264.1683621406555,0.0005
24,0.17088067778009305,94.1869205712854,0.45819649458883355,83.48017621145374,263.7925777435303,0.0005
25,0.16524292910212535,94.43748433976447,0.3983909424377958,86.67400881057269,266.08452343940735,0.0005
