epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,1.207727077908756,57.479328489100475,1.121599640615186,55.39647577092511,266.0497016906738,0.001
2,0.7849372344278686,73.18967677273866,1.337495552548228,51.651982378854626,266.3977732658386,0.001
3,0.6576626123386766,77.27386619894763,0.660523641083209,76.3215859030837,264.2391505241394,0.001
4,0.5335581548021001,81.63367577048359,0.5618030522757165,82.37885462555066,263.6345570087433,0.001
5,0.49515898853159585,83.13705838135806,0.4458594870987443,84.58149779735683,265.9441578388214,0.001
6,0.4897699790979441,82.76121272863944,0.7385646231505314,73.34801762114537,266.13325476646423,0.001
7,0.4559291006777407,84.43998997744926,0.5927353020150231,81.16740088105728,264.2952103614807,0.001
8,0.4121799935481507,85.69280881984466,0.8505094942805,74.66960352422907,263.67852663993835,0.001
9,0.4170903531091012,85.64269606614883,0.6420995029846477,80.50660792951543,265.9546241760254,0.001
10,0.39663122573821236,85.94337258832373,0.6666792083679317,76.431718061674,266.1698338985443,0.001
11,0.40772807945347284,85.99348534201954,0.5197791348863804,81.82819383259911,264.05452156066895,0.001
12,0.3858979610281461,86.87045853169631,0.5322199664058139,81.82819383259911,264.1439890861511,0.001
13,0.35788188656300596,87.772488098221,0.4777748698967669,82.37885462555066,266.02207231521606,0.001
14,0.3400036394969469,88.19844650463543,0.6926074007009094,80.39647577092511,265.98994421958923,0.001
15,0.3302737035135433,88.37384114257078,0.6407361384399137,81.27753303964758,264.3721270561218,0.001
16,0.3228891663639744,89.05036331746429,0.5304788660569864,85.24229074889868,263.8058054447174,0.001
17,0.3277971382668012,89.22575795539964,0.4905847826980809,83.70044052863436,266.06808710098267,0.001
18,0.3196255343356428,88.97519418692058,0.4447815241661366,84.91189427312776,266.01366353034973,0.001
19,0.3057066347478954,89.57654723127035,0.5856647417277492,82.26872246696036,263.72787976264954,0.001
20,0.30856402431348906,90.0275620145327,0.6130744213574784,81.49779735682819,263.5014660358429,0.0005
21,0.26073898651700844,91.3304936106239,0.38051174804240073,88.43612334801762,265.66788029670715,0.0005
22,0.23432749301471437,91.70633926334251,0.3889854968513161,86.67400881057269,266.19879150390625,0.0005
23,0.22392737610063526,92.38286143823603,0.3352360475956081,90.19823788546256,264.2212598323822,0.0005
24,0.23934768113806804,91.58105737910299,0.3669309914112091,87.22466960352423,263.80345916748047,0.0005
25,0.21373263374811066,92.70859433725883,0.40973764339601415,86.23348017621146,265.7593517303467,0.0005
