epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,1.008770668396105,65.5725382109747,0.7835875703309076,72.57709251101322,265.608332157135,0.001
2,0.608653780422961,79.62916562265096,1.6475118086857943,61.23348017621145,265.65061235427856,0.001
3,0.5181838053415605,82.91155098972689,0.6702948112844895,75.99118942731278,263.90206599235535,0.001
4,0.4442167521508766,84.66549736908043,0.6241221323543709,77.7533039647577,263.1082947254181,0.001
5,0.39751511438094234,86.56978200952142,0.6821029167868492,77.42290748898678,265.98379707336426,0.001
6,0.3890340554627581,86.31921824104235,0.5241097605044621,82.59911894273128,265.54393196105957,0.001
7,0.34383653572136763,88.44901027311451,0.4502823308175881,86.78414096916299,264.072057723999,0.001
8,0.3280931566927075,88.32372838887497,0.4771977718016912,84.58149779735683,263.49701738357544,0.001
9,0.34577378900957356,87.94788273615636,0.5125969202639248,83.59030837004406,265.54243445396423,0.001
10,0.31039245974387303,89.50137810072664,0.4931489333247823,84.58149779735683,265.9032073020935,0.001
11,0.3053412576294937,89.30092708594337,0.5940709349736243,80.39647577092511,263.9821045398712,0.001
12,0.28940329171457674,89.92733650714106,0.5142089093374785,83.92070484581498,263.2893717288971,0.001
13,0.29809658640430436,90.0275620145327,0.4009004799148585,87.44493392070484,265.3469326496124,0.001
14,0.26153552184962775,90.9797043347532,0.4046283918330323,86.89427312775331,265.3219578266144,0.001
15,0.26695007437513874,91.15509897268855,0.4578834265995656,85.35242290748899,263.754597902298,0.001
16,0.2657541318648861,91.20521172638436,0.5084400416930341,83.48017621145374,263.28744626045227,0.001
17,0.26486355469538075,91.15509897268855,0.40943692470305815,87.22466960352423,265.39030957221985,0.001
18,0.2306675566778061,92.2826359308444,0.48702476035787146,83.81057268722466,265.9724917411804,0.001
19,0.2223095938440135,92.6083688298672,0.5009019690594484,83.81057268722466,263.8893129825592,0.001
20,0.22723946105049417,92.6083688298672,0.4300694136761359,87.33480176211454,263.67948746681213,0.0005
21,0.19806467081424559,93.48534201954398,0.33159529581862923,90.7488986784141,265.88934564590454,0.0005
22,0.17383419998798474,94.01152593335004,0.32771995886832084,89.42731277533039,265.5089328289032,0.0005
23,0.16515954339139835,94.31220245552493,0.32258673284678735,90.08810572687224,263.4399890899658,0.0005
24,0.15597226570958453,94.66299173139564,0.41847679074771604,86.89427312775331,263.4634213447571,0.0005
25,0.16248522971812063,94.38737158606865,0.4244034380245839,87.55506607929516,265.0159206390381,0.0005
