epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,1.248076005706032,56.903031821598596,1.1299706455894505,65.85903083700441,266.3255968093872,0.001
2,0.8363326161285893,71.9869706840391,0.8821154385148691,71.58590308370044,266.8372142314911,0.001
3,0.6930949787796664,76.42194938611877,0.7352295557307776,73.34801762114537,264.64050912857056,0.001
4,0.608328387585537,79.37860185417189,0.5792514552497654,79.62555066079295,264.3415150642395,0.001
5,0.5384365622186625,81.48333750939614,0.8814533526151715,68.72246696035242,266.60777378082275,0.001
6,0.5136759162800439,82.41042345276873,0.5262701752952542,80.83700440528635,266.8803656101227,0.001
7,0.4757692207372508,84.59032823853671,0.62329486235648,78.8546255506608,264.5843348503113,0.001
8,0.4385846038788848,85.29190679027812,0.6962894786822114,75.88105726872247,264.6193208694458,0.001
9,0.43237988395040955,85.16662490603859,0.5422094372400629,81.6079295154185,266.3407316207886,0.001
10,0.40660932566760566,86.34427461789025,0.499559357040254,82.59911894273128,266.3254668712616,0.001
11,0.3840163577636421,86.97068403908794,0.592707966917937,80.39647577092511,264.610435962677,0.001
12,0.3939989195285779,86.8203457780005,0.47991784632468537,82.9295154185022,264.3600525856018,0.001
13,0.37839661479981973,86.44450012528189,0.43831494102656576,86.01321585903084,266.39656805992126,0.001
14,0.34866478358913683,87.87271360561263,0.4841766034453976,85.35242290748899,266.3557584285736,0.001
15,0.3273291001938782,88.97519418692058,0.667613523909699,80.39647577092511,264.4955916404724,0.001
16,0.33134077842956616,88.64946128789776,0.5578880375702475,81.49779735682819,264.16731882095337,0.001
17,0.34564377654617334,88.17339012778753,0.39961709128077333,87.11453744493392,266.03226923942566,0.001
18,0.30772992431654483,89.52643447757454,0.4907254818744859,82.26872246696036,266.77454829216003,0.001
19,0.3213141782485104,89.10047607116012,0.38518774591484783,87.11453744493392,264.98922395706177,0.001
20,0.31171226050808326,88.92508143322476,0.4131260870049178,87.22466960352423,264.28242015838623,0.0005
21,0.2588327832872842,91.25532448008018,0.33283871427047096,88.98678414096916,266.5906684398651,0.0005
22,0.2358238516117331,91.73139564019043,0.31894830190925344,90.08810572687224,266.41722679138184,0.0005
23,0.22087949575994942,92.13229766975695,0.30411277179676005,89.97797356828194,264.9322793483734,0.0005
24,0.22109318350795754,92.73365071410674,0.32870409227415326,89.20704845814979,264.1611385345459,0.0005
25,0.22404858139158043,92.43297419193185,0.33172466208756235,90.08810572687224,266.43027353286743,0.0005
