epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,1.1207930993926283,62.3903783512904,0.9650456708433345,67.40088105726872,265.47711420059204,0.001
2,0.721185577988057,75.39463793535455,0.800679851405421,74.77973568281938,265.875283241272,0.001
3,0.6039019617796004,79.47882736156352,0.6531533826027672,78.30396475770925,263.7553312778473,0.001
4,0.507188478393741,81.90929591581057,0.7837547172139919,73.23788546255507,263.1498625278473,0.001
5,0.48742351752867585,82.68604359809572,0.7820494025289224,74.77973568281938,266.1083879470825,0.001
6,0.46327852879482173,83.83863693309948,0.6672204378582045,76.10132158590308,265.81317162513733,0.001
7,0.42754029967049495,84.94111751440742,0.4512089380280562,85.24229074889868,263.8832035064697,0.001
8,0.3922567325848381,86.74517664745677,0.496263933897281,84.58149779735683,263.4550004005432,0.001
9,0.3798794367727974,87.29641693811075,0.4677530378759695,85.46255506607929,265.6075758934021,0.001
10,0.3727551138705701,87.57203708343773,0.5695912578852954,80.61674008810573,266.08252334594727,0.001
11,0.3804627778804323,86.44450012528189,0.5961783275598996,81.49779735682819,263.9387683868408,0.001
12,0.35557089036223705,87.49686795289401,0.6172093564587018,78.52422907488987,263.4825801849365,0.001
13,0.3644085839797727,87.32147331495865,0.4190366116520592,86.34361233480176,265.94713163375854,0.001
14,0.31277703487672953,89.82711099974944,0.42176883979515883,86.89427312775331,266.3374309539795,0.001
15,0.3197504459348008,89.0754196943122,0.44567753164516144,85.24229074889868,263.53858160972595,0.001
16,0.31077743716868383,89.3760962164871,0.4039787417072557,85.68281938325991,263.5804195404053,0.001
17,0.31684073525782186,88.84991230268103,0.39383780312958266,87.88546255506608,265.55843591690063,0.001
18,0.2914094513623346,89.82711099974944,0.4737329115754707,84.14096916299559,266.5586152076721,0.001
19,0.2855535974421318,89.90228013029316,0.381565845354013,86.12334801762114,263.9081377983093,0.001
20,0.29725134564996275,89.87722375344525,0.38832446092550976,86.78414096916299,263.84980726242065,0.0005
21,0.2633558085794528,91.18015534953646,0.3018489875194785,90.30837004405286,265.60128378868103,0.0005
22,0.21741122094738366,93.18466549736908,0.31512092204871156,90.08810572687224,265.9531669616699,0.0005
23,0.21804467522763454,92.6334252067151,0.3152616438886668,90.30837004405286,263.6245439052582,0.0005
24,0.21628131190806335,92.75870709095464,0.33317176446252983,89.42731277533039,264.0833625793457,0.0005
25,0.20976948371449677,92.80881984465046,0.3973723755008849,87.55506607929516,265.7072582244873,0.0005
