epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,no_improve_count
1,1.2362810730247145,58.85742921573541,1.025752956384079,63.32599118942731,0.001,245.56745886802673,1,0
2,0.77197104920961,73.76597344024054,0.6803040016065085,77.86343612334802,0.001,245.57289743423462,1,0
3,0.6524275651972147,77.24880982209973,0.8852062867338962,72.3568281938326,0.001,245.5586335659027,0,1
4,0.5605891983003074,80.50613881232773,0.6832845494610622,76.98237885462555,0.001,245.53240299224854,0,2
5,0.5287973368804099,82.43547982961664,0.8594540680557621,69.38325991189427,0.001,245.59291791915894,0,3
6,0.5134740074425824,82.73615635179154,0.6131401982667163,77.97356828193833,0.001,245.64641404151917,1,0
7,0.4719004879706308,83.76346780255575,0.5693587794703009,81.6079295154185,0.001,245.65413546562195,1,0
8,0.44904312530994056,85.14156852919068,0.6123027470012068,80.72687224669603,0.001,245.69043469429016,0,1
9,0.4191846337138606,85.11651215234276,0.5616809415265852,82.37885462555066,0.001,245.74194169044495,1,0
10,0.4095251904756197,86.5196692558256,0.47364396894030636,84.91189427312776,0.001,245.66351509094238,1,0
11,0.4150068359965222,85.74292157354047,0.5524280254404975,80.06607929515418,0.001,245.5646948814392,0,1
12,0.38612040429299294,86.92057128539213,0.816856534798765,75.66079295154185,0.001,245.52112817764282,0,2
13,0.36899015076684344,87.27136056126284,0.6490443180836245,79.62555066079295,0.001,245.57409191131592,0,3
14,0.3699425515884207,87.57203708343773,0.5074416772187544,85.13215859030836,0.001,245.69218635559082,1,0
15,0.35873029335672413,88.34878476572288,0.4367658157837023,84.69162995594714,0.001,245.6181833744049,0,1
16,0.3584176144767781,88.07316462039589,0.4386269464629337,87.44493392070484,0.001,245.66774129867554,1,0
17,0.3510098830705536,87.99799548985217,0.4719984553065069,84.36123348017621,0.001,245.53154945373535,0,1
18,0.3264494884345681,88.72463041844149,0.39668901596169115,88.21585903083701,0.001,245.6799705028534,1,0
19,0.3354435526347943,88.4239538962666,0.6424709699293065,78.74449339207048,0.001,245.68572068214417,0,1
20,0.33625871318678785,88.82485592583312,0.4609845048103826,85.13215859030836,0.0005,245.68160343170166,0,2
21,0.2716021393025558,90.32823853670759,0.43318390728093453,86.56387665198238,0.0005,245.69995784759521,0,3
22,0.24515041670115842,90.82936607366575,0.3889988216567407,87.88546255506608,0.0005,245.66529059410095,0,4
23,0.2524361148330987,91.20521172638436,0.37941520155657754,88.10572687224669,0.0005,246.7494819164276,0,5
24,0.24033860203258617,91.78150839388624,0.3988102149661417,87.99559471365639,0.0005,247.5914182662964,0,6
