experiment,description,epochs,best_epoch,best_val_acc,best_val_loss,best_eval_acc,final_train_acc,final_val_acc,final_train_loss,final_val_loss,avg_epoch_time_sec,total_train_time_sec,history_csv,curve_png,confusion_png,checkpoint
plus_jitter,Baseline + clipped jitter,25,23,91.07929515418502,0.3187488950624865,91.07929515418502,94.43748433976447,86.67400881057269,0.16524292910212535,0.3983909424377958,265.13842213630676,7078.654786348343,histories/plus_jitter_history.csv,figures/plus_jitter_curves.png,figures/plus_jitter_confusion_matrix.png,checkpoints/plus_jitter_best.pt
plus_mirror,Baseline + random mirror (x/y),25,21,90.7488986784141,0.33159529581862923,90.7488986784141,94.38737158606865,87.55506607929516,0.16248522971812063,0.4244034380245839,264.6417349338532,7065.969724655151,histories/plus_mirror_history.csv,figures/plus_mirror_curves.png,figures/plus_mirror_confusion_matrix.png,checkpoints/plus_mirror_best.pt
plus_occlusion,Baseline + random spherical occlusion,25,23,90.41850220264317,0.3192622803381361,90.41850220264317,93.41017288900025,89.75770925110132,0.17873761759040888,0.35344440620474615,264.8611102581024,7071.621207237244,histories/plus_occlusion_history.csv,figures/plus_occlusion_curves.png,figures/plus_occlusion_confusion_matrix.png,checkpoints/plus_occlusion_best.pt
baseline,RotationZ + Gaussian noise,25,23,90.30837004405286,0.304943258082289,90.30837004405286,92.9090453520421,88.76651982378854,0.1938716675577472,0.34278972309066336,264.4558001613617,7061.552724599838,histories/baseline_history.csv,figures/baseline_curves.png,figures/baseline_confusion_matrix.png,checkpoints/baseline_best.pt
plus_scale,Baseline + random isotropic scale,25,21,90.30837004405286,0.3080163445766802,90.30837004405286,94.06163868704586,87.33480176211454,0.17998625326129733,0.4034741993845822,264.7975360870361,7069.884243488312,histories/plus_scale_history.csv,figures/plus_scale_curves.png,figures/plus_scale_confusion_matrix.png,checkpoints/plus_scale_best.pt
plus_translate,Baseline + random translation,25,21,90.30837004405286,0.3018489875194785,90.30837004405286,92.80881984465046,87.55506607929516,0.20976948371449677,0.3973723755008849,264.8350791168213,7070.954260110855,histories/plus_translate_history.csv,figures/plus_translate_curves.png,figures/plus_translate_confusion_matrix.png,checkpoints/plus_translate_best.pt
combo_robust,Baseline + scale + translation + point dropout + occlusion,25,23,90.19823788546256,0.3352360475956081,90.19823788546256,92.70859433725883,86.23348017621146,0.21373263374811066,0.40973764339601415,265.0338835525513,7075.7038860321045,histories/combo_robust_history.csv,figures/combo_robust_curves.png,figures/combo_robust_confusion_matrix.png,checkpoints/combo_robust_best.pt
combo_full,Baseline + scale + translation + jitter + mirror + point dropout + occlusion,25,22,90.08810572687224,0.31894830190925344,90.08810572687224,92.43297419193185,90.08810572687224,0.22404858139158043,0.33172466208756235,265.5399441051483,7088.88197350502,histories/combo_full_history.csv,figures/combo_full_curves.png,figures/combo_full_confusion_matrix.png,checkpoints/combo_full_best.pt
plus_dropout,Baseline + random point dropout,25,23,89.64757709251101,0.3337471140835779,89.64757709251101,93.25983462791281,89.42731277533039,0.18759152554563638,0.32589620890071214,264.9672208595276,7074.822085142136,histories/plus_dropout_history.csv,figures/plus_dropout_curves.png,figures/plus_dropout_confusion_matrix.png,checkpoints/plus_dropout_best.pt
combo_geo,Baseline + scale + translation + jitter + mirror,25,22,88.32599118942731,0.3650257753840102,88.32599118942731,91.73139564019043,86.78414096916299,0.24197265127194434,0.3959839873442566,265.26680874824524,7081.5676963329315,histories/combo_geo_history.csv,figures/combo_geo_curves.png,figures/combo_geo_confusion_matrix.png,checkpoints/combo_geo_best.pt
