experiment,seed,epochs_max,epochs_ran,stopped_early,best_epoch,best_val_acc,best_eval_acc,best_val_loss,final_val_acc,final_train_acc,final_val_loss,final_train_loss,mean_best_per_class_acc,avg_epoch_time_sec,total_train_time_sec,run_dir,history_csv,curves_png,confusion_png,predictions_csv
baseline,1,50,16,1,10,86.45374449339207,86.45374449339207,0.4276842080089489,81.6079295154185,89.82711099974944,0.5187261380944483,0.3021567490757393,0.8561162790697674,248.54941393435,3976.794260263443,runs/baseline/seed_1,runs/baseline/seed_1/history.csv,runs/baseline/seed_1/curves.png,runs/baseline/seed_1/confusion_matrix.png,runs/baseline/seed_1/predictions.csv
plus_jitter,1,50,13,1,7,86.12334801762114,86.12334801762114,0.4424884538884205,83.81057268722466,90.00250563768479,0.4757664566326246,0.2903495347610365,0.852139534883721,245.7864003915053,3195.2265095710754,runs/plus_jitter/seed_1,runs/plus_jitter/seed_1/history.csv,runs/plus_jitter/seed_1/curves.png,runs/plus_jitter/seed_1/confusion_matrix.png,runs/plus_jitter/seed_1/predictions.csv
plus_occlusion,1,50,27,1,21,88.32599118942731,88.32599118942731,0.3612157618750034,87.33480176211454,93.76096216487096,0.37997665167642586,0.17611045314013524,0.8723023255813953,245.65165545322276,6632.601365327835,runs/plus_occlusion/seed_1,runs/plus_occlusion/seed_1/history.csv,runs/plus_occlusion/seed_1/curves.png,runs/plus_occlusion/seed_1/confusion_matrix.png,runs/plus_occlusion/seed_1/predictions.csv
combo_full,1,50,24,1,18,88.21585903083701,88.21585903083701,0.37941520155657754,87.99559471365639,91.78150839388624,0.3988102149661417,0.24033860203258617,0.8724418604651163,245.75599043567976,5898.150190830231,runs/combo_full/seed_1,runs/combo_full/seed_1/history.csv,runs/combo_full/seed_1/curves.png,runs/combo_full/seed_1/confusion_matrix.png,runs/combo_full/seed_1/predictions.csv
